InstanceType,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f
m6i.16xlarge,True,True,True,True,False,True
m6i.24xlarge,True,True,True,True,False,True
m6i.2xlarge,True,True,True,True,False,True
m6i.32xlarge,True,True,True,True,False,True
m6i.4xlarge,True,True,True,True,False,True
m6i.8xlarge,True,True,True,True,False,True
m6i.large,True,True,True,True,False,True
m6i.metal,True,True,True,True,False,True
m6i.xlarge,True,True,True,True,False,True
m6id.12xlarge,True,True,True,True,False,True
m6id.16xlarge,True,True,True,True,False,True
m6id.24xlarge,True,True,True,True,False,True
m6id.2xlarge,True,True,True,True,False,True
m6id.32xlarge,True,True,True,True,False,True
m6id.4xlarge,True,True,True,True,False,True
m6id.8xlarge,True,True,True,True,False,True
m6id.large,True,True,True,True,False,True
m6id.metal,True,True,True,True,False,True
m6id.xlarge,True,True,True,True,False,True
mac1.metal,True,True,False,False,False,False
mac2.metal,True,True,True,False,False,False
p2.16xlarge,True,True,True,True,True,False
p2.8xlarge,True,True,True,True,True,False
p2.xlarge,True,True,True,True,True,False
p3.16xlarge,False,True,True,True,False,True
p3.2xlarge,False,True,True,True,False,True
p3.8xlarge,False,True,True,True,False,True
p3dn.24xlarge,False,True,True,False,False,False
p4d.24xlarge,False,True,True,True,False,False
r3.2xlarge,True,True,False,True,True,False
r3.4xlarge,True,True,False,True,True,False
r3.8xlarge,True,True,False,True,True,False
r3.large,True,True,False,True,True,False
r3.xlarge,True,True,False,True,True,False
r4.16xlarge,True,True,True,True,True,True
r4.2xlarge,True,True,True,True,True,True
r4.4xlarge,True,True,True,True,True,True
r4.8xlarge,True,True,True,True,True,True
r4.large,True,True,True,True,True,True
r4.xlarge,True,True,True,True,True,True
r5.12xlarge,True,True,True,True,False,True
r5.16xlarge,True,True,True,True,False,True
r5.24xlarge,True,True,True,True,False,True
r5.2xlarge,True,True,True,True,False,True
r5.4xlarge,True,True,True,True,False,True
r5.8xlarge,True,True,True,True,False,True
r5.large,True,True,True,True,False,True
r5.metal,True,True,True,True,False,True
r5.xlarge,True,True,True,True,False,True
r5a.12xlarge,True,True,True,True,False,True
r5a.16xlarge,True,True,True,True,False,True
r5a.24xlarge,True,True,True,True,False,True
r5a.2xlarge,True,True,True,True,False,True
r5a.4xlarge,True,True,True,True,False,True
r5a.8xlarge,True,True,True,True,False,True
r5a.large,True,True,True,True,False,True
r5a.xlarge,True,True,True,True,False,True
r5ad.12xlarge,True,True,True,True,False,True
r5ad.16xlarge,True,True,True,True,False,True
r5ad.24xlarge,True,True,True,True,False,True
r5ad.2xlarge,True,True,True,True,False,True
r5ad.4xlarge,True,True,True,True,False,True
r5ad.8xlarge,True,True,True,True,False,True
r5ad.large,True,True,True,True,False,True
r5ad.xlarge,True,True,True,True,False,True
r5b.12xlarge,True,True,True,True,False,False
r5b.16xlarge,True,True,True,True,False,False
r5b.24xlarge,True,True,True,True,False,False
r5b.2xlarge,True,True,True,True,False,False
r5b.4xlarge,True,True,True,True,False,False
r5b.8xlarge,True,True,True,True,False,False
r5b.large,True,True,True,True,False,False
r5b.metal,True,True,True,True,False,False
r5b.xlarge,True,True,True,True,False,False
r5d.12xlarge,True,True,True,True,False,True
r5d.16xlarge,True,True,True,True,False,True
r5d.24xlarge,True,True,True,True,False,True
r5d.2xlarge,True,True,True,True,False,True
r5d.4xlarge,True,True,True,True,False,True
r5d.8xlarge,True,True,True,True,False,True
r5d.large,True,True,True,True,False,True
r5d.metal,True,True,True,True,False,True
r5d.xlarge,True,True,True,True,False,True
r5dn.12xlarge,True,True,True,True,False,True
r5dn.16xlarge,True,True,True,True,False,True
r5dn.24xlarge,True,True,True,True,False,True
r5dn.2xlarge,True,True,True,True,False,True
r5dn.4xlarge,True,True,True,True,False,True
r5dn.8xlarge,True,True,True,True,False,True
r5dn.large,True,True,True,True,False,True
r5dn.metal,True,True,True,True,False,True
r5dn.xlarge,True,True,True,True,False,True
r5n.12xlarge,True,True,True,True,False,True
r5n.16xlarge,True,True,True,True,False,True
r5n.24xlarge,True,True,True,True,False,True
r5n.2xlarge,True,True,True,True,False,True
r5n.4xlarge,True,True,True,True,False,True
r5n.8xlarge,True,True,True,True,False,True
r5n.large,True,True,True,True,False,True
r5n.metal,True,True,True,True,False,True
r5n.xlarge,True,True,True,True,False,True
r6g.12xlarge,True,True,True,True,False,True
r6g.16xlarge,True,True,True,True,False,True
r6g.2xlarge,True,True,True,True,False,True
r6g.4xlarge,True,True,True,True,False,True
r6g.8xlarge,True,True,True,True,False,True
r6g.large,True,True,True,True,False,True
r6g.medium,True,True,True,True,False,True
r6g.metal,True,True,True,True,False,True
r6g.xlarge,True,True,True,True,False,True
r6gd.12xlarge,True,True,True,True,False,True
r6gd.16xlarge,True,True,True,True,False,True
r6gd.2xlarge,True,True,True,True,False,True
r6gd.4xlarge,True,True,True,True,False,True
r6gd.8xlarge,True,True,True,True,False,True
r6gd.large,True,True,True,True,False,True
r6gd.medium,True,True,True,True,False,True
r6gd.metal,True,True,True,True,False,True
r6gd.xlarge,True,True,True,True,False,True
r6i.12xlarge,True,True,True,True,False,True
r6i.16xlarge,True,True,True,True,False,True
r6i.24xlarge,True,True,True,True,False,True
r6i.2xlarge,True,True,True,True,False,True
r6i.32xlarge,True,True,True,True,False,True
r6i.4xlarge,True,True,True,True,False,True
r6i.8xlarge,True,True,True,True,False,True
r6i.large,True,True,True,True,False,True
r6i.metal,True,True,True,True,False,True
r6i.xlarge,True,True,True,True,False,True
r6id.12xlarge,True,True,True,True,False,True
r6id.16xlarge,True,True,True,True,False,True
r6id.24xlarge,True,True,True,True,False,True
r6id.2xlarge,True,True,True,True,False,True
r6id.32xlarge,True,True,True,True,False,True
r6id.4xlarge,True,True,True,True,False,True
r6id.8xlarge,True,True,True,True,False,True
r6id.large,True,True,True,True,False,True
r6id.metal,True,True,True,True,False,True
r6id.xlarge,True,True,True,True,False,True
t1.micro,True,True,True,True,False,True
t2.2xlarge,True,True,True,True,True,True
t2.large,True,True,True,True,True,True
t2.medium,True,True,True,True,True,True
t2.micro,True,True,True,True,True,True
t2.nano,True,True,True,True,True,True
t2.small,True,True,True,True,True,True
t2.xlarge,True,True,True,True,True,True
t3.2xlarge,True,True,True,True,False,True
t3.large,True,True,True,True,False,True
t3.medium,True,True,True,True,False,True
t3.micro,True,True,True,True,False,True
t3.nano,True,True,True,True,False,True
t3.small,True,True,True,True,False,True
t3.xlarge,True,True,True,True,False,True
t3a.2xlarge,True,True,True,True,False,True
t3a.large,True,True,True,True,False,True
t3a.medium,True,True,True,True,False,True
t3a.micro,True,True,True,True,False,True
t3a.nano,True,True,True,True,False,True
t3a.small,True,True,True,True,False,True
t3a.xlarge,True,True,True,True,False,True
t4g.2xlarge,True,True,True,True,False,True
t4g.large,True,True,True,True,False,True
t4g.medium,True,True,True,True,False,True
t4g.micro,True,True,True,True,False,True
t4g.nano,True,True,True,True,False,True
t4g.small,True,True,True,True,False,True
t4g.xlarge,True,True,True,True,False,True
u-12tb1.112xlarge,True,True,False,True,False,False
u-3tb1.56xlarge,True,True,False,True,False,False
u-6tb1.112xlarge,True,True,True,True,False,False
u-6tb1.56xlarge,True,True,True,True,False,False
u-9tb1.112xlarge,True,True,False,True,False,False
vt1.24xlarge,False,False,True,True,False,False
vt1.3xlarge,False,False,True,True,False,False
vt1.6xlarge,False,False,True,True,False,False
x1.16xlarge,True,True,True,True,True,True
x1.32xlarge,True,True,True,True,True,True
x1e.16xlarge,True,True,True,True,False,False
x1e.2xlarge,True,True,True,True,False,False
x1e.32xlarge,True,True,True,True,False,False
x1e.4xlarge,True,True,True,True,False,False
x1e.8xlarge,True,True,True,True,False,False
x1e.xlarge,True,True,True,True,False,False
x2gd.12xlarge,True,True,True,True,False,True
x2gd.16xlarge,True,True,True,True,False,True
x2gd.2xlarge,True,True,True,True,False,True
x2gd.4xlarge,True,True,True,True,False,True
x2gd.8xlarge,True,True,True,True,False,True
x2gd.large,True,True,True,True,False,True
